,borough,block,lot,cd,ct2010,cb2010,schooldist,council,zipcode,firecomp,policeprct,healtharea,sanitboro,sanitsub,address,zonedist1,bldgclass,landuse,easements,ownertype,ownername,lotarea,bldgarea,comarea,resarea,officearea,retailarea,garagearea,strgearea,factryarea,otherarea,areasource,numbldgs,numfloors,unitsres,unitstotal,lotfront,lotdepth,bldgfront,bldgdepth,ext,proxcode,irrlotcode,lottype,bsmtcode,assessland,assesstot,exempttot,yearbuilt,yearalter1,yearalter2,builtfar,residfar,commfar,facilfar,borocode,bbl,condono,tract2010,xcoord,ycoord,latitude,longitude,zonemap,sanborn,taxmap,GEOID
15,BK,594,1,306,53,1034,15,38,11231,L131,76,4100,3,1D,157 BAY STREET,PARK,Q1,9.0,0,C,NYC DEPARTMENT OF PARKS AND RECREATION,103000,500,500.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,2,1,1.0,0,0,200.0,515.0,20.0,25.0,N,0,N,3,0,801450,979650,979650,1931,0,0,0.0,0.0,0,0.0,3,3005940001,,53,983679,184076,40.67192279,-74.00205842,16a,301 036,30207,36047005300
16,BK,585,51,306,53,1011,15,38,11231,L101,76,4100,3,1D,188 COFFEY STREET,M1-1,B9,1.0,0,,COFFEY STREET LLC,2500,1250,0.0,1250.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,2.0,2,2,25.0,100.0,25.0,25.0,N,2,N,5,2,17220,81660,0,1899,0,0,0.5,0.0,1,2.4,3,3005850051,,53,979736,186282,40.67797663,-74.01627415,16a,301 002,30207,36047005300
17,BK,508,38,306,59,2019,15,38,11231,L101,76,4100,3,1D,62 SEABRING STREET,M1-1,F5,6.0,0,,STAKIS REALTY CORP.,3856,7800,7800.0,0.0,0.0,0.0,0.0,0.0,7800.0,0.0,2,1,1.0,0,1,38.75,99.5,39.0,99.0,N,2,N,5,0,19800,244800,0,1955,0,0,2.02,0.0,1,2.4,3,3005080038,,59,982255,187521,40.68137833,-74.00719286,16a,301 021,30205,36047005900
18,BK,587,29,306,53,3004,15,38,11231,L101,76,4100,3,1D,63 DIKEMAN STREET,R5,V0,11.0,0,,"STUCKEY, ELIZABETH",1600,0,,,,,,,,,7,0,0.0,0,0,20.0,80.0,0.0,0.0,,0,N,3,5,15180,15180,0,0,0,0,0.0,1.25,0,2.0,3,3005870029,,53,980830,185456,40.67570993,-74.01232957,16a,301 019,30207,36047005300
19,BK,508,30,306,59,2019,15,38,11231,L101,76,4100,3,1D,46 SEABRING STREET,M1-1,F9,6.0,0,,BLOOMING PROPERTY INC,15092,15000,15000.0,0.0,0.0,0.0,0.0,0.0,15000.0,0.0,2,1,1.0,0,1,149.92,100.67,150.0,100.0,N,3,N,5,0,122400,666900,0,1931,1970,0,0.99,0.0,1,2.4,3,3005080030,,59,982365,187423,40.68110936,-74.00679624,16a,301 021,30205,36047005900
20,BK,513,4,306,59,2015,15,38,11231,L131,76,4100,3,1D,371 COLUMBIA STREET,M1-1,C2,2.0,0,,PINESTONE ONE LLC,2500,3375,0.0,3375.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,3.0,6,6,25.0,100.0,25.0,45.0,N,0,N,5,5,3600,288900,0,1800,2007,0,1.35,0.0,1,2.4,3,3005130004,,59,982828,186776,40.67933358,-74.00512679,16a,301 029,30205,36047005900
21,BK,520,12,306,59,2025,15,38,11231,L131,76,4100,3,1D,16 LUQUER STREET,M1-1,C0,2.0,0,,"VILLAFANE, JULIO",2500,2100,0.0,1400.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,2.0,3,3,25.0,100.0,20.0,35.0,N,2,N,5,1,18120,160500,0,1899,0,0,0.84,0.0,1,2.4,3,3005200012,,59,982853,186568,40.67876267,-74.00503661,16a,301 029,30205,36047005900
22,BK,526,15,306,59,2034,15,38,11231,L131,76,4100,3,1D,60 NELSON STREET,M1-1,C1,2.0,0,X,NELSON LUQUER HOUSING DEVELOPMENT FUND C ORPORATION,2233,6540,0.0,6540.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,4.0,8,8,22.33,100.0,22.33,60.0,N,3,N,5,2,5850,663750,663750,1920,1997,0,2.93,0.0,1,2.4,3,3005260015,,59,983248,186157,40.67763463,-74.00361245,16a,301 029,30205,36047005900
23,BK,531,34,306,59,1009,15,38,11231,L101,76,4100,3,1D,86 PIONEER STREET,R5,B9,1.0,0,,"GALLAGHER, ELLEN",1667,960,0.0,960.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,2.0,2,2,16.67,100.0,16.67,30.0,N,3,N,5,2,16560,87180,0,1899,0,0,0.58,1.25,0,2.0,3,3005310034,,59,981585,186375,40.67823264,-74.00960806,16a,301 020,30206,36047005900
24,BK,531,35,306,59,1009,15,38,11231,L101,76,4100,3,1D,88 PIONEER STREET,R5,B9,1.0,0,,118 REALTY CORP,1667,2438,0.0,2438.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,2.75,2,2,16.67,100.0,16.0,50.0,N,1,N,3,2,15780,131820,0,1925,0,0,1.46,1.25,0,2.0,3,3005310035,,59,981574,186386,40.67826283,-74.00964772,16a,301 020,30206,36047005900
25,BK,546,23,306,53,2007,15,38,11231,L101,76,4100,3,1D,105 PIONEER STREET,R5,B9,1.0,0,,"DITURI, CHRISTINA",1667,960,0.0,960.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,2.0,2,2,16.67,100.0,16.67,30.0,N,3,N,5,2,14940,93960,0,1901,0,0,0.58,1.25,0,2.0,3,3005460023,,53,981367,186358,40.67818591,-74.01039399999999,16a,301 020,30206,36047005300
26,BK,565,11,306,53,2002,15,38,11231,L101,76,4100,3,1D,115 SULLIVAN STREET,R5,C0,2.0,0,,"PADILLA, ROSSMARY",1525,3079,0.0,3079.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,3.0,3,3,15.25,100.0,15.25,55.0,N,3,N,5,5,19200,162000,1400,2004,0,0,2.02,1.25,0,2.0,3,3005650011,,53,980618,186328,40.67810329,-74.01309433,16a,301 020,30206,36047005300
27,BK,578,1,306,53,4002,15,38,11231,L101,76,4100,3,1D,141 DWIGHT STREET,M1-1,M9,8.0,0,,"18-24 LUQUER STREET REALTY, LLC",1875,4500,4500.0,0.0,0.0,0.0,0.0,0.0,0.0,4500.0,2,1,3.0,0,2,25.0,75.0,25.0,65.0,N,1,N,3,0,57150,576000,518850,2007,0,0,2.4,0.0,1,2.4,3,3005780001,,53,981398,185095,40.67471927,-74.01028170000001,16a,301 024,30207,36047005300
28,BK,578,30,306,53,4002,15,38,11231,L101,76,4100,3,1D,38 OTSEGO STREET,M1-1,A9,1.0,0,,"FRIEDMAN, MATT S",3588,1379,0.0,1379.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,2.0,1,1,53.75,66.75,32.17,25.17,N,1,N,3,2,24840,110940,0,1899,0,0,0.38,0.0,1,2.4,3,3005780030,,53,981456,185057,40.67461499,-74.01007259,16a,301 024,30207,36047005300
29,BK,585,42,306,53,1011,15,38,11231,L101,76,4100,3,1D,170 COFFEY STREET,M1-1,B9,1.0,0,,"LORE, MATTHEW",2000,2700,0.0,1800.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,2.0,2,2,20.0,100.0,20.0,45.0,N,3,N,5,1,19860,148920,0,1899,0,0,1.35,0.0,1,2.4,3,3005850042,,53,979873,186160,40.67764183,-74.01578015,16a,301 002,30207,36047005300
30,BK,588,24,306,53,4004,15,38,11231,L101,76,4100,3,1D,29 DIKEMAN STREET,R5,B1,1.0,0,,"STURLA, LUIS R",2000,2000,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,2.0,2,2,20.0,100.0,20.0,50.0,N,3,N,5,2,17880,118260,0,1899,0,0,1.0,1.25,0,2.0,3,3005880024,,53,981157,185148,40.67486466,-74.01115055,16a,301 023,30207,36047005300
31,BK,588,25,306,53,4004,15,38,11231,L101,76,4100,3,1D,27 DIKEMAN STREET,R5,B1,1.0,0,,"HALVARSON, HOLLY",1800,2000,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,2.0,2,2,20.0,90.0,20.0,50.0,N,3,N,5,1,16320,116400,1400,1899,0,0,1.11,1.25,0,2.0,3,3005880025,,53,981173,185137,40.67483448,-74.01109287,16a,301 023,30207,36047005300
32,BK,623,118,306,53,1017,15,38,11231,L131,76,4100,3,1D,784 HENRY STREET,M3-1,E1,6.0,0,X,SUNLIGHT CLINTON REA,50175,41033,41033.0,0.0,875.0,0.0,0.0,40158.0,0.0,0.0,2,1,1.0,0,2,225.0,223.0,225.0,201.0,N,2,N,3,0,373500,1872000,1872000,1925,0,0,0.82,0.0,2,0.0,3,3006230118,,53,983003,183514,40.67038015,-74.00449525,16b,301 035,30207,36047005300
33,BK,513,2,306,59,2015,15,38,11231,L131,76,4100,3,1D, COLUMBIA STREET,M1-1,V1,11.0,0,,FICESCO 13 LUQUER LLC,3309,0,,,,,,,,,7,1,0.0,0,0,25.0,100.0,0.0,0.0,,0,Y,5,5,96300,96300,0,0,0,0,0.0,0.0,1,2.4,3,3005130002,,59,982816,186719,40.67917713,-74.00517004,16a,301 029,30205,36047005900
34,BK,529,23,306,59,1008,15,38,11231,L101,76,4100,3,1D,276 VAN BRUNT STREET,M2-1,G2,7.0,0,,"THERESA BENEDETTO, TRUSTEE",2250,2250,2250.0,0.0,0.0,0.0,2250.0,0.0,0.0,0.0,2,1,1.0,0,1,25.0,90.0,25.0,45.0,E,0,N,3,0,22500,146250,0,1931,0,0,1.0,0.0,2,0.0,3,3005290023,,59,981446,187036,40.68004689,-74.01010947,16a,301 020,30206,36047005900
35,BK,531,4,306,59,1009,15,38,11231,L101,76,4100,3,1D,283 VAN BRUNT STREET,R5,S2,4.0,0,,283 VAN BRUNT LLC,1225,1836,606.0,1230.0,606.0,0.0,0.0,0.0,0.0,0.0,2,1,3.0,2,3,17.5,70.0,17.5,35.0,N,0,N,5,0,6060,19620,0,1925,0,0,1.5,1.25,0,2.0,3,3005310004,,59,981298,186651,40.67899011,-74.01064289,16a,301 020,30206,36047005900
36,BK,545,24,306,53,2000,15,38,11231,L101,76,4100,3,1D,332 VAN BRUNT STREET,R5,G7,10.0,0,,RED HOOK ANCHOR REALTY LLC,1544,0,,,,,,,,,7,0,0.0,0,0,25.0,61.75,0.0,0.0,,0,N,5,5,50850,50850,0,0,0,0,0.0,1.25,0,2.0,3,3005450024,,53,981023,186545,40.67869907,-74.0116343,16a,301 020,30206,36047005300
37,BK,531,22,306,59,1009,15,38,11231,L101,76,4100,3,1D,71 VISITATION PLACE,R6,C9,2.0,0,,RED HOOK GARDENS HOUS,10000,11340,0.0,11340.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5,3.0,10,10,100.0,100.0,20.0,42.0,N,0,N,5,0,10350,967950,0,1972,0,0,1.13,2.43,0,4.8,3,3005310022,,59,981584,186512,40.67860868,-74.00961172,16a,301 020,30206,36047005900
38,BK,575,9,306,53,2003,15,38,11231,L101,76,4100,3,1D,125 WOLCOTT STREET,R5,A9,1.0,0,,"GRIGORIADIS, VANESSA M",1650,2240,0.0,2240.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,2.0,1,1,33.0,50.0,33.0,50.0,,0,N,5,5,8940,146520,0,1916,2013,0,1.36,1.25,0,2.0,3,3005750009,,53,980372,186234,40.67784518,-74.01398117,16a,301 019,30207,36047005300
39,BK,517,35,306,59,1000,15,38,11231,L101,76,4100,3,1D,254 VAN BRUNT STREET,M2-1,F9,6.0,0,,252 VAN BRUNT HOLDING LLC,1605,3960,3959.0,0.0,750.0,0.0,0.0,0.0,3209.0,0.0,2,1,3.0,2,3,17.83,90.0,17.83,90.0,E,0,N,5,2,16200,280800,0,1931,0,0,2.47,0.0,2,0.0,3,3005170035,,59,981639,187253,40.68064257,-74.00941371,16a,301 021,30205,36047005900
40,BK,588,27,306,53,4004,15,38,11231,L101,76,4100,3,1D,23 DIKEMAN STREET,R5,B1,1.0,0,,VICTOR FIELDS,1800,3000,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,2.0,2,2,20.0,90.0,20.0,50.0,N,3,N,5,1,14760,163980,0,1899,0,0,1.67,1.25,0,2.0,3,3005880027,,53,981205,185112,40.67476587,-74.01097749,16a,301 023,30207,36047005300
41,BK,575,14,306,53,2003,15,38,11231,L101,76,4100,3,1D,115 WOLCOTT STREET,R5,F5,6.0,0,,"RIVERA, ERIC",4000,4000,4000.0,0.0,0.0,0.0,0.0,0.0,4000.0,0.0,2,1,1.0,0,1,40.0,100.0,40.0,100.0,N,0,N,5,0,45000,273600,0,1959,0,0,1.0,1.25,0,2.0,3,3005750014,,53,980447,186133,40.67756799,-74.01371072,16a,301 019,30207,36047005300
42,BK,585,31,306,53,1011,15,38,11231,L101,76,4100,3,1D,210 CONOVER STREET,M1-1,G1,10.0,0,,CONOVER LLC,5500,1000,1000.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,2,1,1.0,0,1,45.0,100.0,20.0,50.0,N,0,N,5,0,44550,153450,0,1931,0,0,0.18,0.0,1,2.4,3,3005850031,,53,980026,186136,40.67757603,-74.01522853,16a,301 002,30207,36047005300
43,BK,590,45,306,53,4010,15,38,11231,L101,76,4100,3,1D,27 BAY STREET,M1-1,G7,10.0,0,,"MAGOO ENTRPRISES, INC",7000,0,,,,,,,,,7,0,0.0,0,0,70.0,100.0,0.0,0.0,,0,N,5,5,104850,104850,0,0,0,0,0.0,0.0,1,2.4,3,3005900045,,53,981662,184765,40.67381358,-74.00932983,16a,301 024,30207,36047005300
44,BK,590,1,306,53,4010,15,38,11231,L101,76,4100,3,1D,41 OTSEGO STREET,M1-1,G7,10.0,0,,MAGOO ENTERPRISES INC,42000,0,,,,,,,,,7,1,0.0,0,0,200.0,240.0,0.0,0.0,,0,Y,3,5,371700,371700,0,0,0,0,0.0,0.0,1,2.4,3,3005900001,,53,981583,184855,40.67406058,-74.00961467,16a,301 024,30207,36047005300
45,BK,534,35,306,59,2032,15,38,11231,L131,76,4100,3,1D,33 WEST 9 STREET,R5,E1,6.0,0,,Y & M EQUITIES LLC,5000,2000,2000.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,2,1,1.0,0,1,50.0,100.0,50.0,40.0,N,0,N,5,0,35550,145800,0,1962,0,0,0.4,1.25,0,2.0,3,3005340035,,59,982801,185945,40.67705267,-74.00522395,16a,301 029,30206,36047005900
46,BK,340,43,306,53,1000,15,39,11231,E202,76,4100,3,2C, PRESIDENT STREET,M2-1,V1,11.0,0,C,PORT AUTHORITY OF NY AND NJ,3500,0,,,,,,,,,7,0,0.0,0,0,12.0,80.0,0.0,0.0,,0,N,5,5,102600,102600,102600,0,0,0,0.0,0.0,2,0.0,3,3003400043,,53,982621,188738,40.68471879,-74.00587356,16a,301 006,30202,36047005300
47,BK,488,1,306,53,1039,15,38,11231,L131,76,4100,3,1D,582 SMITH STREET,M3-1,F5,6.0,0,,YESHIVA OF KASHO,15000,15000,15000.0,0.0,0.0,0.0,0.0,0.0,15000.0,0.0,2,2,1.0,0,0,150.0,100.0,100.0,150.0,N,2,N,3,0,121500,803250,801717,1931,1958,0,1.0,0.0,2,0.0,3,3004880001,,53,984183,183839,40.67127229,-74.00024153,16c,301 036,30204,36047005300
48,BK,577,21,306,53,4003,15,38,11231,L101,76,4100,3,1D,23 WOLCOTT STREET,R5,V0,11.0,0,,ELIZABETH GRADY,2000,0,,,,,,,,,7,2,0.0,0,0,20.0,100.0,0.0,0.0,,0,N,5,5,21780,21780,0,0,0,0,0.0,1.25,0,2.0,3,3005770021,,53,981257,185410,40.67558383,-74.01079016,16a,301 024,30207,36047005300
49,BK,486,23,306,53,1031,15,38,11231,L131,76,4100,3,1D,570 SMITH STREET,M1-1,F5,6.0,0,,570 SMITH ST REALTY CORP,5000,5000,5000.0,0.0,0.0,0.0,0.0,0.0,5000.0,0.0,2,1,2.0,0,1,50.0,100.0,50.0,100.0,N,0,N,3,0,40500,223650,0,1931,1970,1970,1.0,0.0,1,2.4,3,3004860023,,53,984287,184042,40.67182948,-73.99986662,16c,301 036,30204,36047005300
50,BK,530,24,306,59,1007,15,38,11231,L101,76,4100,3,1D,86 RICHARDS STREET,R5,M1,8.0,0,X,RC CH OF THE VISITATI,23000,10400,10400.0,0.0,0.0,0.0,0.0,0.0,0.0,10400.0,2,1,3.0,0,1,160.0,150.0,75.0,150.0,N,0,Y,3,0,243450,1158300,1158300,1911,0,0,0.45,1.25,0,2.0,3,3005300024,,59,981797,186633,40.67894085,-74.00884383,16a,301 020,30206,36047005900
51,BK,517,44,306,59,1000,15,38,11231,L101,76,4100,3,1D,274 VAN BRUNT STREET,M2-1,Z9,,0,,270 WATERHOUSE LLC,1680,0,,,,,,,,,7,1,0.0,0,0,21.0,80.0,0.0,0.0,N,0,N,3,0,17100,22050,0,0,0,0,0.0,0.0,2,0.0,3,3005170044,,59,981501,187092,40.68020062,-74.00991119,16a,301 021,30205,36047005900
52,BK,578,8,306,53,4002,15,38,11231,L101,76,4100,3,1D,129 DWIGHT STREET,M1-1,K1,5.0,0,,JOSE FERNANDEZ,4270,2133,2133.0,0.0,0.0,2133.0,0.0,0.0,0.0,0.0,2,1,1.0,0,3,62.08,57.75,75.0,26.67,N,0,N,5,0,21600,144900,0,1925,0,0,0.5,0.0,1,2.4,3,3005780008,,53,981503,185213,40.67504319,-74.00990322,16a,301 024,30207,36047005300
53,BK,578,7,306,53,4002,15,38,11231,L101,76,4100,3,1D,131 DWIGHT STREET,M1-1,K1,5.0,0,,JOSE FERNANDEZ,2273,2250,2250.0,0.0,0.0,2250.0,0.0,0.0,0.0,0.0,2,1,1.0,0,3,27.0,95.33,25.0,94.0,N,0,Y,5,0,11250,142650,0,1925,0,0,0.99,0.0,1,2.4,3,3005780007,,53,981482,185178,40.67494712,-74.00997891,16a,301 024,30207,36047005300
54,BK,578,29,306,53,4002,15,38,11231,L101,76,4100,3,1D,34 OTSEGO STREET,M1-1,Z9,,0,,"DONAHUE, MARILYN A",1120,0,,,,,,,,,7,1,0.0,0,0,23.75,54.08,0.0,0.0,N,0,N,5,0,13950,18000,0,0,0,0,0.0,0.0,1,2.4,3,3005780029,,53,981473,185092,40.67471106,-74.01001132,16a,301 024,30207,36047005300
55,BK,588,40,306,53,4004,15,38,11231,L101,76,4100,3,1D,46 COFFEY STREET,M1-1,F5,6.0,0,,46 COFFEY INC,4000,4000,4000.0,0.0,0.0,0.0,0.0,2000.0,2000.0,0.0,2,1,2.0,0,1,40.0,100.0,40.0,50.0,N,0,N,5,0,54000,171450,0,1931,0,0,1.0,0.0,1,2.4,3,3005880040,,53,981022,185132,40.674820700000005,-74.01163723,16a,301 023,30207,36047005300
56,BK,534,15,306,59,2032,15,38,11231,L131,76,4100,3,1D,16 HUNTINGTON STREET,R5,Z0,1.0,0,,"EJG REALTY ASSOCIATES, LLC",2000,0,,,,,,,,,7,0,0.0,0,0,20.0,100.0,0.0,0.0,,0,N,5,5,7260,9960,0,0,0,0,0.0,1.25,0,2.0,3,3005340015,,59,982691,186095,40.67746437,-74.00562056,16a,301 029,30206,36047005900
57,BK,586,21,306,53,3000,15,38,11231,L101,76,4100,3,1D,109 DIKEMAN STREET,R5,S4,4.0,0,,MAIN DIKEMAN CORP.,4154,2295,765.0,1530.0,0.0,765.0,0.0,0.0,0.0,0.0,2,2,3.0,4,5,62.0,67.0,17.0,45.0,N,0,N,3,5,56700,198900,0,1931,0,0,0.55,1.25,0,2.0,3,3005860021,,53,980400,185848,40.67678571,-74.01388001,16a,301 019,30207,36047005300
58,BK,557,1,306,85,1001,15,38,11231,L101,76,4100,3,1I,139 RICHARDS STREET,R6,D3,3.0,0,O,NYC HOUSING AUTHORITY,245000,291300,1200.0,290100.0,0.0,0.0,1200.0,0.0,0.0,0.0,2,4,3.0,345,345,490.0,500.0,370.0,30.0,N,0,N,4,0,2756250,10878750,10878750,1954,0,0,1.19,2.43,0,4.8,3,3005570001,,85,981490,185707,40.676399100000005,-74.00995029,16a,301 024,30206,36047008500
59,BK,556,119,306,53,2006,15,38,11231,L101,76,4100,3,1D,113 KING STREET,R5,A5,1.0,0,,GWEEN WULD LLC,1683,2625,0.0,2625.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,3.0,1,1,16.83,100.0,16.82,52.0,,3,N,5,2,25260,83760,0,2016,0,0,1.56,1.25,0,2.0,3,3005560119,,53,981170,186185,40.677710999999995,-74.01110416,16a,301 020,30206,36047005300
